#timestep  occupied-CPU  total-CPU  utilization  queuingjobs
1    0    1024    0.0    1
2    128    1024    0.125    2
3    256    1024    0.25    0
4    10    1024    0.009765625    1
5    48    1024    0.046875    1
6    64    1024    0.0625    0
7    47    1024    0.0458984375    15
8    0    1024    0.0    0
9    32    1024    0.03125    0
10    128    1024    0.125    0
11    0    1024    0.0    0
12    0    1024    0.0    0
13    0    1024    0.0    0
14    16    1024    0.015625    0
15    16    1024    0.015625    0
16    37    1024    0.0361328125    0
17    19    1024    0.0185546875    10
18    0    1024    0.0    2
19    0    1024    0.0    0
20    0    1024    0.0    3
21    0    1024    0.0    0
22    0    1024    0.0    0
23    0    1024    0.0    0
24    0    1024    0.0    0
25    1    1024    0.0009765625    0
26    32    1024    0.03125    0
27    128    1024    0.125    0
28    32    1024    0.03125    0
29    0    1024    0.0    4
30    64    1024    0.0625    1
31    121    1024    0.1181640625    20
32    16    1024    0.015625    1
33    64    1024    0.0625    1
34    70    1024    0.068359375    2
35    0    1024    0.0    0
36    0    1024    0.0    4
37    64    1024    0.0625    0
38    0    1024    0.0    2
39    104    1024    0.1015625    2
40    35    1024    0.0341796875    30
41    74    1024    0.072265625    1
42    8    1024    0.0078125    1
43    80    1024    0.078125    0
44    0    1024    0.0    1
45    128    1024    0.125    0
46    0    1024    0.0    0
47    68    1024    0.06640625    0
48    37    1024    0.0361328125    22
49    0    1024    0.0    21
50    64    1024    0.0625    37
51    128    1024    0.125    0
52    64    1024    0.0625    0
53    16    1024    0.015625    0
54    128    1024    0.125    0
55    64    1024    0.0625    0
56    64    1024    0.0625    2
57    96    1024    0.09375    19
58    8    1024    0.0078125    31
59    120    1024    0.1171875    23
60    0    1024    0.0    0

average cpu utilization is: 0.043603515625
average ssd utilization is: 0.0
average gpu utilization is: 0.0
average utilization is: 0.0145345052083
average queuing jobs are: 4.33333333333
maximum queuing jobs are: 37


#job_number  submit  dispatch  queue  cpu#  runtime  weight  response(turnaround)  cpu_aspl  cpu_diameter
133    1563438022.55    1563438022.57    0.0230000019073    32    0.0522    1.6704    0.0752000019073    3.01008064516    5
134    1563438022.55    1563438022.57    0.021999835968    1    0.0017    0.0017    0.023699835968    1.0    2
135    1563438022.56    1563438022.58    0.0179998874664    4    0.0454    0.1816    0.0633998874664    1.5    2
136    1563438022.56    1563438022.58    0.0139999389648    1    0.0004    0.0004    0.0143999389648    1.0    2
137    1563438022.57    1563438022.58    0.0119998455048    4    0.0044    0.0176    0.0163998455048    1.5    2
138    1563438022.57    1563438022.58    0.0090000629425    2    0.0021    0.0042    0.0111000629425    1.0    2
139    1563438022.59    1563438022.59    0.0    1    0.0003    0.0003    0.0003    1.0    2
140    1563438022.62    1563438022.64    0.0249998569489    32    0.0083    0.2656    0.0332998569489    3.07056451613    5
141    1563438022.62    1563438022.64    0.0189998149872    4    0.0006    0.0024    0.0195998149872    1.5    2
142    1563438022.63    1563438022.67    0.0380001068115    32    0.0175    0.56    0.0555001068115    3.01008064516    5
143    1563438022.64    1563438022.67    0.0319998264313    4    0.0108    0.0432    0.0427998264313    1.5    2
144    1563438022.64    1563438022.69    0.0540001392365    32    0.0222    0.7104    0.0762001392365    3.01008064516    5
145    1563438022.66    1563438022.69    0.0350000858307    1    0.0011    0.0011    0.0361000858307    1.0    2
146    1563438022.66    1563438022.72    0.0569999217987    32    0.0372    1.1904    0.0941999217987    3.07056451613    5
147    1563438022.71    1563438022.74    0.0339999198914    32    0.0922    2.9504    0.126199919891    3.01008064516    5
148    1563438022.74    1563438022.83    0.0929999351501    64    0.0006    0.0384    0.0935999351501    3.84821428571    7
149    1563438022.74    1563438022.84    0.0920000076294    1    0.0012    0.0012    0.0932000076294    1.0    2
150    1563438022.75    1563438022.92    0.171000003815    64    0.0003    0.0192    0.171300003815    3.84821428571    7
151    1563438022.75    1563438022.94    0.190999984741    32    0.0219    0.7008    0.212899984741    3.01008064516    5
152    1563438022.76    1563438023.03    0.272000074387    64    0.0038    0.2432    0.275800074387    3.84821428571    7
153    1563438022.76    1563438023.11    0.346999883652    64    0.0039    0.2496    0.350899883652    3.82192460317    7
154    1563438022.77    1563438023.11    0.341000080109    1    0.0142    0.0142    0.355200080109    1.0    2
155    1563438022.77    1563438023.11    0.342000007629    1    0.0103    0.0103    0.352300007629    1.0    2
